Compound,predicted_stable_unstable,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol
TaFeBi,unstable,3,6.072,13.224,18.659,246.741,-7.862,0,0.92,PBE,55.977,154.273,5.333,3.754,3,1.805,7.636,4.754,8,1.188,14.288,1.255,11.63,1.11,12.74,3.059,10.481,0.4
TaFeP,other_structure,3,5.545,10.434,14.205,148.212,-9.168,0,0.837,PBE,42.615,220.237,5.333,0.711,3,0.342,132.24,4.079,8,1.02,25.664,1.255,28.504,1.635,30.139,5.009,6.933,0.4
TaFeSb,stable,3,5.943,11.348,17.489,198.464,-8.379,0,0.856,PBE,52.468,177.775,5.333,1.036,9,0.239,182.019,4.777,8,1.194,16.347,1.255,18.38,1.314,19.694,22.982,7.791,0.4
TaIrGe,stable,3,6.013,13.623,18.113,246.759,-9.018,0,0.932,PBE,54.34,202.793,5.333,0.7,3,0.337,124.639,4.481,8,1.12,20.525,1.255,20.167,1.266,21.433,6.547,8.485,0.4
TaIrSi,other_structure,3,5.935,12.751,17.418,222.097,-9.459,0,0.795,PBE,52.255,215.602,5.333,0.629,3,0.302,155.655,6.045,8,1.511,13.927,1.255,24.396,1.367,25.763,6.176,6.271,0.4
TaIrSn,stable,3,6.219,13.581,20.047,272.259,-8.705,0,0.942,PBE,60.142,185.752,5.333,0.831,9,0.192,264.631,6.442,8,1.611,10.906,1.255,17.826,1.173,18.999,28.408,7.052,0.4
TaNiAl,unstable,3,5.76,9.268,15.923,147.579,-7.362,0,0.585,MBJ,47.768,161.643,5.333,1.341,3,0.645,37.487,0.988,14,0.17,276.409,1.255,17.891,1.431,19.322,3.92,40.677,0.4
TaNiB,other_structure,3,5.338,10.939,12.673,138.629,-8.029,0,0.778,PBE,38.018,217.954,5.333,1.764,3,0.848,33.493,4.138,11,0.837,34.179,1.255,24.373,1.651,26.023,3.329,12.304,0.4
TaNiGa,unstable,3,5.737,10.884,15.732,171.237,-7.079,0,0.243,PBE,47.197,168.074,5.333,1.54,3,0.74,31.667,1.29,14,0.222,192.613,1.255,15.913,1.352,17.265,4.198,40.332,0.4
TaNiIn,unstable,3,5.989,10.961,17.899,196.198,-6.643,0,0.181,PBE,53.697,145.008,5.333,1.574,3,0.757,26.423,1.463,11,0.296,108.21,1.255,12.392,1.198,13.59,4.54,29.256,0.4
TaNiTl,unstable,3,6.032,13.437,18.291,245.773,-6.238,0,0.427,MBJ,54.873,138.713,5.333,1.511,3,0.726,26.885,2.564,3,1.233,12.164,1.255,8.892,1.051,9.943,6.084,24.585,0.4
