Compound,predicted_stable_unstable,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol
TiPtPb,unstable,3,6.33,11.791,21.132,249.164,-6.286,0,0.712,PBE,63.396,121.255,5.333,8.32,3,4,1.819,4.069,3,1.956,5.317,1.255,8.517,0.999,9.516,1.997,3.067,0.4
TiPtSi,other_structure,3,5.889,8.816,17.017,150.022,-7.367,0,0.863,PBE,51.05,167.809,5.333,1.559,3,0.75,31.021,6.095,3,2.93,4.014,1.255,21.594,1.462,23.056,3.115,1.375,0.4
TiPtSn,stable,3,6.218,9.99,20.038,200.184,-6.715,0,0.764,PBE,60.115,139.058,5.333,7.17,3,3.447,2.607,5.232,3,2.515,4.183,1.255,13.629,1.183,14.813,1.608,1.943,0.4
TiRhAs,stable,3,5.882,7.366,16.96,124.925,-7.446,0,0.795,PBE,50.88,157.132,5.333,1.86,3,0.894,22.306,4.254,3,2.045,6.447,1.255,23.179,1.549,24.728,2.447,1.489,0.4
TiRhBi,stable,3,6.264,9.722,20.483,199.128,-6.792,0,0.69,PBE,61.448,124.931,5.333,7.145,3,3.435,2.355,4.25,3,2.043,5.134,1.255,11.273,1.129,12.402,1.73,2.362,0.4
TiRhP,stable,3,5.74,6.383,15.76,100.599,-7.776,0,0.799,PBE,47.28,173.82,5.333,1.585,3,0.762,31.349,3.384,3,1.627,10.053,1.255,32.87,1.794,34.664,2.125,1.348,0.4
TiRhSb,stable,3,6.13,7.857,19.199,150.85,-7.2,0,0.719,PBE,57.596,143.445,5.333,4.431,3,2.13,5.536,4.6,3,2.211,5.234,1.255,19.011,1.375,20.385,1.609,1.573,0.4
TiRuTe,unstable,3,6.126,7.989,19.159,153.067,-7.279,0,0.745,PBE,57.476,148.165,5.333,2.81,3,1.351,11.325,5.747,3,2.763,3.872,1.255,19.987,1.387,21.373,2.084,1.356,0.4
VCoC,unstable,3,4.948,6.683,10.095,67.465,-8.061,0,0.936,PBE,30.286,251.033,5.333,1.278,3,0.615,62.521,5.644,11,1.141,24.714,1.255,52.222,2.446,54.667,2.214,5.6,0.4
VCoGe,stable,3,5.507,7.257,13.921,101.024,-7.215,0,0.66,PBE,41.762,177.083,5.333,1.898,3,0.913,24.372,11.765,8,2.941,4.213,1.255,26.979,1.77,28.749,2.342,3.095,0.4
VCoPb,unstable,3,5.899,10.26,17.106,175.505,-6.27,0,0.638,PBE,51.319,130.946,5.333,5.496,3,2.642,3.659,11.841,3,5.692,1.157,1.255,10.395,1.195,11.589,2.271,1.433,0.4
VCoSi,other_structure,3,5.404,5.807,13.15,76.363,-7.685,0,0.526,PBE,39.45,193.569,5.333,1.331,3,0.64,45.403,9.743,8,2.436,6.11,1.255,41.508,2.109,43.617,2.089,2.497,0.4
VCoSn,unstable,3,5.795,7.8,16.221,126.525,-6.737,0,0.614,PBE,48.663,149.172,5.333,3.531,3,1.697,8.095,13.44,11,2.717,3.997,1.255,18.701,1.489,20.19,1.936,5.354,0.4
VFeAs,stable,3,5.491,7.29,13.796,100.578,-7.752,0,0.342,PBE,41.389,189.975,5.333,1.493,3,0.718,37.493,5.431,8,1.358,14.41,1.255,31.168,1.835,33.002,2.529,4.6,0.4
VFeBi,unstable,3,5.927,10.072,17.353,174.781,-6.804,0,0.332,PBE,52.06,138.494,5.333,4.83,3,2.322,4.697,7.428,8,1.857,6.567,1.255,12.153,1.234,13.387,2.246,6.85,0.4
VFeP,stable,3,5.325,6.06,12.582,76.252,-8.242,0,0.302,PBE,37.746,214.973,5.333,1.088,3,0.523,68.179,4.795,8,1.199,19.654,1.255,48.285,2.208,50.492,2.261,26.847,0.4
VFeSb,stable,3,5.782,7.853,16.109,126.503,-7.315,0,0.321,PBE,48.326,162.745,5.333,1.705,9,0.394,78.98,6.419,8,1.605,9.608,1.255,22.394,1.553,23.948,12.835,4.912,0.4
VIrC,unstable,3,5.386,10.849,13.019,141.239,-8.248,0,0.305,PBE,39.057,229.091,5.333,2.387,3,1.148,22.358,3.309,8,0.827,36.538,1.255,27.995,1.684,29.679,2.558,8.303,0.4
VIrGe,stable,3,5.831,10.581,16.52,174.799,-7.886,0,0.295,PBE,49.559,188.927,5.333,1.271,3,0.611,47.462,8.13,11,1.644,10.757,1.255,22.051,1.43,23.481,3.892,7.882,0.4
VIrPb,,3,6.188,12.622,19.749,249.279,-7.001,0,1.132,MBJ,59.248,147.514,5.333,4.401,3,2.116,5.753,9.422,3,4.53,1.836,1.255,11.571,1.09,12.661,2.676,1.694,0.4
VIrSi,stable,3,5.732,9.567,15.692,150.137,-8.371,0,0.184,PBE,47.077,204.679,5.333,0.995,3,0.478,74.254,7.112,11,1.438,14.245,1.255,28.772,1.592,30.364,3.778,7.156,0.4
VIrSn,unstable,3,6.08,10.694,18.731,200.299,-7.51,0,0.293,PBE,56.192,166.402,5.333,1.547,3,0.744,31.143,9.536,11,1.928,7.459,1.255,17.86,1.28,19.14,3.739,7.74,0.4
VNiAl,unstable,3,5.578,5.23,14.46,75.619,-6.25,0,0.12,PBE,43.379,143.521,5.333,6.03,3,2.899,3.489,1.411,8,0.353,82.188,1.255,25.874,1.853,27.727,0.984,9.285,0.4
VNiB,unstable,3,5.088,6.075,10.974,66.668,-7.023,0,0.904,PBE,32.922,209.252,5.333,4.588,3,2.206,7.666,7.435,3,3.575,3.715,1.255,41.404,2.277,43.682,1.073,0.803,0.4
VNiGa,unstable,3,5.56,6.931,14.323,99.277,-5.975,0,0.319,PBE,42.969,148.818,5.333,4.611,3,2.217,5.411,2.466,11,0.499,50.713,1.255,19.773,1.645,21.417,1.552,13.924,0.4
VNiIn,unstable,3,5.847,7.457,16.662,124.238,-5.54,0,0.223,PBE,49.985,123.72,5.333,8.035,3,3.863,1.956,2.816,3,1.354,9.425,1.255,13.282,1.374,14.656,1.351,2.534,0.4
VOsAs,unstable,3,5.822,10.64,16.444,174.962,-8.476,0,0.079,PBE,49.332,198.697,5.333,1.209,3,0.581,53.809,3.18,3,1.529,12.615,1.255,24.42,1.464,25.884,3.827,2.142,0.4
VOsBi,unstable,3,6.208,12.495,19.941,249.165,-7.656,0,0.119,PBE,59.824,155.111,5.333,3.802,3,1.828,7.531,3.644,3,1.752,8.027,1.255,13.183,1.119,14.302,2.719,2.789,0.4
VOsP,unstable,3,5.674,9.896,15.222,150.636,-8.901,0,1.099,MBJ,45.667,218.599,5.333,0.984,3,0.473,80.583,3.072,3,1.477,14.617,1.255,31.311,1.634,32.945,3.742,1.89,0.4
VOsSb,unstable,3,6.07,10.777,18.64,200.887,-8.172,0,0.109,PBE,55.921,178.244,5.333,1.788,3,0.86,26.834,3.483,11,0.704,36.195,1.255,20.539,1.322,21.861,3.214,13.283,0.4
VPtAl,unstable,3,5.876,8.936,16.91,151.113,-6.803,0,1.015,MBJ,50.731,157.257,5.333,1.141,3,0.548,46.467,3.013,11,0.609,39.683,1.255,18.316,1.408,19.725,4.116,14.168,0.4
VPtB,unstable,3,5.488,10.32,13.775,142.162,-7.176,0,0.369,PBE,41.324,205.983,5.333,1.221,3,0.587,54.953,6.763,3,3.252,4.216,1.255,24.399,1.606,26.006,3.925,1.405,0.4
VPtGa,unstable,3,5.881,10.31,16.952,174.771,-6.429,0,0.167,PBE,50.855,159.105,5.333,1.835,3,0.882,23.034,4.723,3,2.271,5.58,1.255,15.819,1.318,17.137,3.603,2.043,0.4
VPtIn,,3,6.141,10.351,19.296,199.732,-6.05,0,0.699,MBJ,57.887,138.323,5.333,4.873,3,2.343,4.629,7.47,3,3.591,2.439,1.255,12.577,1.174,13.752,2.173,1.682,0.4
VPtTl,unstable,3,6.222,12.42,20.073,249.307,-5.583,0,0.29,PBE,60.219,127.158,5.333,10.568,3,5.08,1.332,4.764,3,2.29,4.403,1.255,8.585,1.014,9.599,1.798,23.346,0.4
VReTe,unstable,3,6.107,10.637,18.98,201.893,-7.918,0,0.244,MBJ,56.94,170.237,5.333,1.92,3,0.923,23.038,2.753,11,0.557,49.183,1.255,19.074,1.292,20.366,3.157,15.68,0.4
VRhC,unstable,3,5.301,7.396,12.412,91.804,-7.798,0,0.452,PBE,37.236,218.964,5.333,1.26,3,0.606,55.722,5.386,3,2.589,6.306,1.255,39.108,2.026,41.134,2.589,1.083,0.4
VRhGe,unstable,3,5.787,7.764,16.148,125.363,-7.31,0,0.319,PBE,48.443,170.445,5.333,1.367,6,0.414,76.818,8.75,3,4.206,2.371,1.255,25.201,1.598,26.799,7.775,0.967,0.4
VRhPb,unstable,3,6.147,10.327,19.351,199.844,-6.505,0,0.405,PBE,58.053,132.571,5.333,7.717,3,3.71,2.226,12.27,3,5.899,1.11,1.255,11.504,1.15,12.653,1.718,21.472,0.4
VRhSi,unstable,3,5.69,6.559,15.354,100.702,-7.739,0,0.187,PBE,46.063,185.625,5.333,1.133,3,0.545,55.437,8.628,3,4.148,2.637,1.255,36.159,1.845,38.003,2.532,0.749,0.4
VRhSn,unstable,3,6.042,8.206,18.385,150.864,-6.95,0,0.346,PBE,55.155,149.417,5.333,2.099,3,1.009,17.689,10.81,3,5.197,1.513,1.255,19.179,1.393,20.572,2.601,0.973,0.4
VRuAs,stable,3,5.773,7.833,16.036,125.61,-7.966,0,0.14,PBE,48.108,184.823,5.333,1.297,3,0.624,45.022,3.868,11,0.782,32.066,1.255,29.696,1.66,31.356,2.817,9.017,0.4
VRuBi,unstable,3,6.166,10.229,19.533,199.814,-7.173,0,0.199,PBE,58.599,143.372,5.333,3.691,3,1.775,7.278,6.888,11,1.393,10.469,1.255,13.932,1.198,15.129,2.418,10.255,0.4
VRuP,unstable,3,5.625,6.83,14.829,101.285,-8.374,0,0.074,PBE,44.486,204.176,5.333,1.034,3,0.497,69.881,3.658,3,1.759,10.506,1.255,41.535,1.918,43.453,2.572,1.206,0.4
VRuSb,unstable,3,6.029,8.296,18.266,151.536,-7.646,0,0.176,PBE,54.798,163.953,5.333,1.482,3,0.712,32.719,5.215,11,1.054,18.175,1.255,23.151,1.454,24.605,2.94,8.521,0.4
VTcTe,unstable,3,6.074,8.196,18.675,153.069,-7.468,0,0.727,MBJ,56.026,158.193,5.333,1.23,3,0.592,41.725,2.884,11,0.583,42.645,1.255,22.025,1.427,23.452,3.328,34.722,0.4
WCoAl,unstable,3,5.63,10.039,14.874,149.313,-8.04,0,0.455,MBJ,44.621,195.013,5.333,0.584,3,0.281,157.497,1.818,6,0.551,57.275,1.255,23.522,1.545,25.067,6.005,8.013,0.4
WCoB,other_structure,3,5.232,11.759,11.937,140.362,-8.755,0,0.753,PBE,35.81,262.595,5.333,0.415,3,0.199,353.811,2.901,8,0.725,51.013,1.255,32.422,1.783,34.205,7.271,8.936,0.4
WCoGa,unstable,3,5.622,11.683,14.805,172.971,-7.703,0,0.346,PBE,44.416,201.667,5.333,0.554,3,0.266,176.202,2.39,6,0.724,39.291,1.255,21.002,1.458,22.46,7.152,7.848,0.4
WCoIn,unstable,3,5.874,11.718,16.891,197.931,-7.176,0,0.377,PBE,50.674,171.453,5.333,2.412,9,0.558,49.424,2.179,6,0.66,38.372,1.255,15.939,1.285,17.223,15.265,9.197,0.4
WFeC,unstable,3,5.164,12.138,11.478,139.317,-9.298,0,0.518,PBE,34.434,273.211,5.333,0.497,3,0.239,280.748,3.373,8,0.843,42.346,1.255,33.185,1.813,34.998,6.635,8.302,0.4
WFeGe,stable,3,5.623,11.669,14.815,172.876,-8.693,0,0.201,PBE,44.446,218.169,5.333,0.417,3,0.201,291.356,4.867,8,1.217,19.508,1.255,25.052,1.517,26.57,7.75,7.008,0.4
WFeSi,unstable,3,5.532,10.505,14.109,148.214,-9.21,0,0.048,PBE,42.328,235.323,5.333,0.298,3,0.143,521.644,5.317,8,1.329,18.425,1.255,32.598,1.688,34.286,7.933,5.555,0.4
WFeSn,unstable,3,5.875,11.742,16.894,198.376,-8.204,0,0.235,PBE,50.683,188.992,5.333,0.602,3,0.289,145.838,7.217,14,1.242,16.378,1.255,19.734,1.347,21.081,6.794,13.223,0.4
WIrAl,unstable,3,5.929,12.843,17.371,223.087,-8.874,0,0.143,MBJ,52.112,212.737,5.333,1.393,3,0.67,46.587,1.382,6,0.419,94.25,1.255,23.434,1.354,24.788,3.93,10.419,0.4
WIrB,unstable,3,5.627,14.426,14.844,214.136,-9.177,0,0.591,MBJ,44.531,257.422,5.333,0.342,3,0.164,463.913,2.766,8,0.692,53.712,1.255,27.962,1.481,29.443,9.303,10.472,0.4
WIrGa,unstable,3,5.933,14.179,17.402,246.745,-8.456,0,0.233,MBJ,52.205,215.895,5.333,1.057,3,0.508,71.557,1.073,6,0.325,139.898,1.255,21.488,1.297,22.785,5.121,13.393,0.4
WIrIn,unstable,3,6.149,14.024,19.375,271.706,-8.001,0,0.363,MBJ,58.124,192.332,5.333,0.521,3,0.251,183.891,1.28,6,0.388,95.602,1.255,18.103,1.188,19.291,8.232,12.674,0.4
WIrTl,unstable,3,6.214,16.065,19.999,321.281,-7.455,0,0.577,MBJ,59.997,180.593,5.333,0.819,3,0.394,87.779,1.083,6,0.328,115.43,1.255,13.628,1.064,14.692,7.743,41.701,0.4
WOsGe,unstable,3,5.937,14.179,17.439,247.26,-9.544,0,0.104,MBJ,52.316,4.356,5.333,1.606,3,0.772,0.77,2.414,8,0.603,1.115,1.255,0.004,0.184,0.188,9.744,30.129,0.4
WOsPb,unstable,3,6.238,15.907,20.226,321.74,-8.599,0,0.347,MBJ,60.679,187.378,5.333,0.58,3,0.279,152.608,3.1,14,0.534,57.688,1.255,15.081,1.085,16.166,8.976,28.385,0.4
WOsSn,unstable,3,6.147,14.09,19.359,272.76,-9.163,0,0.244,MBJ,58.076,207.395,5.333,1.434,3,0.689,43.498,3.207,14,0.552,60.673,1.255,21.264,1.231,22.495,4.15,22.122,0.4
WRhAl,unstable,3,5.889,10.201,17.022,173.652,-8.159,0,0.206,MBJ,51.067,191.566,5.333,1.762,3,0.847,29.48,1.729,6,0.524,60.648,1.255,24.254,1.452,25.705,2.964,7.91,0.4
WRhB,unstable,3,5.553,11.542,14.27,164.701,-8.559,0,0.764,MBJ,42.81,239.525,5.333,0.28,3,0.135,582.309,1.445,8,0.361,132.414,1.255,30.46,1.619,32.079,8.955,13.206,0.4
WRhGa,unstable,3,5.884,11.621,16.978,197.31,-7.8,0,0.266,MBJ,50.935,195.501,5.333,0.644,3,0.31,136.165,1.631,6,0.494,67.589,1.255,21.613,1.375,22.988,6.186,9.35,0.4
WRhIn,unstable,3,6.107,11.712,18.979,222.271,-7.383,0,0.23,MBJ,56.936,172.84,5.333,0.763,3,0.367,93.28,1.659,6,0.503,58.215,1.255,17.545,1.241,18.786,6.044,10.01,0.4
WRhTl,unstable,3,6.163,13.935,19.509,271.846,-6.912,0,0.078,PBE,58.527,163.997,5.333,0.929,3,0.446,65.967,1.379,6,0.418,72.938,1.255,12.872,1.098,13.97,6.856,36.704,0.4
WRuPb,unstable,3,6.192,13.768,19.784,272.389,-8.047,0,0.159,MBJ,59.352,173.822,5.333,0.578,3,0.278,142.292,3.185,14,0.548,51.364,1.255,15,1.132,16.132,8.362,25.959,0.4
YAgC,unstable,3,6.061,6.229,18.552,115.565,-5.15,0,0.851,MBJ,55.656,88.025,5.333,0.862,3,0.414,39.584,0.755,9,0.174,144.993,1.255,8.348,1.223,9.571,5.616,28.319,0.4
YAgSi,other_structure,3,6.45,5.567,22.357,124.463,-5.219,0,0.113,MBJ,67.07,80.654,5.333,1.265,3,0.608,20.419,1.227,6,0.372,42.74,1.255,8.926,1.164,10.09,3.879,10.425,0.4
YAuGe,other_structure,3,6.539,8.517,23.299,198.441,-5.492,0,0.324,MBJ,69.896,83.594,5.333,0.655,6,0.198,113.613,1.168,6,0.354,47.681,1.255,5.919,0.945,6.864,23.151,16.358,0.4
YAuSi,other_structure,3,6.458,7.742,22.445,173.78,-5.709,0,0.239,PBE,67.335,91.42,5.333,1.525,6,0.462,34.961,1.318,6,0.399,43.52,1.255,7.908,1.049,8.958,11.682,12.752,0.4
YAuSn,stable,3,6.736,8.792,25.472,223.942,-5.375,0,0.077,MBJ,76.415,79.89,5.333,1.082,6,0.328,51.097,1.213,6,0.367,43.038,1.255,5.465,0.882,6.347,17.698,16.524,0.4
YCoS,unstable,3,5.874,5.895,16.891,99.579,-6.565,0,0.061,PBE,50.673,108.87,5.333,0.303,3,0.146,235.286,10.938,4,4.341,1.445,1.255,13.437,1.443,14.88,8.372,1.456,0.4
YCoTe,unstable,3,6.296,7.332,20.794,152.459,-6.278,0,0.872,PBE,62.382,96.335,5.333,4.193,3,2.016,4.039,8.574,8,2.143,3.684,1.255,9.021,1.136,10.156,2.242,5.763,0.4
YCuC,unstable,3,5.698,5.906,15.414,91.032,-5.793,0,0.085,PBE,46.242,105.963,5.333,1.403,3,0.674,22.965,0.709,8,0.177,170.292,1.255,11.881,1.467,13.348,3.62,21.515,0.4
YCuGe,unstable,3,6.233,6.173,20.182,124.591,-5.474,0,0.299,MBJ,60.547,82.585,5.333,1.327,3,0.638,19.454,1.292,6,0.391,40.505,1.255,7.749,1.157,8.906,4.372,11.725,0.4
YCuSi,other_structure,3,6.158,5.134,19.464,99.93,-5.71,0,0.559,MBJ,58.392,88.692,5.333,1.173,3,0.564,25.146,1.334,6,0.404,41.466,1.255,11.09,1.331,12.422,3.626,16.372,0.4
YHgAl,unstable,3,6.715,6.944,25.229,175.174,-3.819,0,0.084,PBE,75.686,67.389,5.333,0.926,6,0.28,54.494,2.773,6,0.84,10.506,1.255,4.963,0.915,5.878,17.707,9.166,0.4
YHgB,unstable,3,6.355,7.774,21.383,166.224,-3.893,0,0.096,PBE,64.149,78.041,5.333,1.374,3,0.66,17.45,1.524,6,0.462,29.864,1.255,5.365,0.983,6.348,5.676,14.075,0.4
YNiAs,unstable,3,6.101,6.508,18.925,123.168,-6.476,0,0.492,PBE,56.774,99.593,5.333,2.58,3,1.24,8.653,0.974,8,0.243,99.5,1.255,10.545,1.265,11.81,2.668,18.898,0.4
YNiBi,stable,3,6.493,8.651,22.814,197.371,-5.95,0,0.193,PBE,68.443,78.934,5.333,2.033,3,0.977,9.807,0.837,8,0.209,98.956,1.255,5.043,0.917,5.961,4.834,32.497,0.4
YNiP,other_structure,3,5.964,5.593,17.674,98.842,-6.718,0,0.594,PBE,53.021,108.756,5.333,2.557,3,1.229,9.573,1.161,8,0.29,83.496,1.255,14.731,1.459,16.19,2.136,13.548,0.4
YNiSb,stable,3,6.359,6.956,21.433,149.094,-6.262,0,0.285,PBE,64.298,90.264,5.333,2.102,3,1.01,10.664,0.979,8,0.245,89.458,1.255,8.494,1.117,9.611,3.36,20.98,0.4
YPtAs,other_structure,3,6.423,8.996,22.084,198.662,-6.872,0,0.826,MBJ,66.251,101.692,5.333,0.663,3,0.319,67.794,0.763,14,0.131,256.551,1.255,8.253,1.032,9.285,7.829,33.973,0.4
YPtBi,stable,3,6.746,10.667,25.58,272.865,-6.51,0,0.424,MBJ,76.739,87.827,5.333,0.774,3,0.372,46.457,0.871,6,0.264,77.731,1.255,5.343,0.839,6.182,9.258,22.748,0.4
YPtP,other_structure,3,6.305,8.347,20.886,174.336,-7.038,0,0.917,MBJ,62.657,107.722,5.333,0.236,3,0.114,338.009,0.968,8,0.242,108.632,1.255,9.898,1.124,11.022,12.982,21.985,0.4
YPtSb,stable,3,6.615,9.31,24.123,224.588,-6.777,0,0.094,PBE,72.37,98.29,5.333,0.064,3,0.031,2203.969,0.888,6,0.269,84.551,1.255,7.784,0.968,8.753,32.755,24.938,0.4
YRhTe,stable,3,6.53,7.618,23.207,176.798,-6.725,0,0.158,PBE,69.621,96.961,5.333,0.332,3,0.159,182.777,1.139,8,0.285,76.543,1.255,9.396,1.077,10.473,10.029,18.882,0.4
ZrAgB,unstable,3,5.925,6.702,17.335,116.184,-5.343,0,0.24,PBE,52.005,127.111,5.333,1.136,6,0.344,75.632,2.825,6,0.855,19.278,1.255,16.487,1.45,17.937,9.681,5.603,0.4
ZrAuAl,stable,3,6.316,8.308,20.998,174.452,-5.742,0,0.472,PBE,62.993,117.633,5.333,1.212,6,0.367,63.459,2.28,6,0.69,24.605,1.255,12.143,1.175,13.318,11.602,7.943,0.4
ZrAuB,unstable,3,5.976,9.305,17.786,165.501,-5.902,0,0.79,PBE,53.359,142.609,5.333,1.729,6,0.524,45.178,2.752,6,0.834,22.486,1.255,14.517,1.292,15.809,9.576,7.244,0.4
ZrAuGa,other_structure,3,6.3,9.506,20.84,198.11,-5.453,0,0.594,PBE,62.519,117.321,5.333,1.362,6,0.413,53.135,6.404,6,1.939,5.212,1.255,10.194,1.1,11.294,12.723,5.027,0.4
ZrAuIn,,3,6.509,9.707,22.98,223.07,-5.26,0,0.455,PBE,68.941,107.861,5.333,1.24,3,0.596,28.123,5.693,6,1.724,5.718,1.255,8.8,1.01,9.81,5.399,5.709,0.4
ZrAuTl,unstable,3,6.572,11.528,23.652,272.646,-4.9,0,0.344,PBE,70.955,100.641,5.333,1.425,3,0.685,21.3,4.329,6,1.311,8.045,1.255,6.242,0.887,7.128,6.378,27.894,0.4
ZrCoAs,stable,3,5.836,7.52,16.568,124.584,-7.622,0,1.208,PBE,49.703,151.444,5.333,3.977,3,1.912,6.873,6.374,8,1.594,9.034,1.255,20.506,1.517,22.023,1.678,4.991,0.4
ZrCoBi,stable,3,6.223,9.897,20.085,198.787,-6.908,0,0.985,PBE,60.256,118.732,5.333,3.405,3,1.637,6.802,9.252,8,2.313,4.05,1.255,9.726,1.098,10.823,2.938,6.367,0.4
ZrCoP,other_structure,3,5.699,6.502,15.421,100.258,-7.963,0,1.284,PBE,46.262,166.917,5.333,4.289,3,2.062,6.764,8.081,8,2.02,6.976,1.255,28.959,1.754,30.713,1.267,3.422,0.4
ZrCoSb,stable,3,6.094,7.98,18.86,150.51,-7.329,0,1.057,PBE,56.58,135.048,5.333,3.401,3,1.635,7.75,8.241,8,2.06,5.48,1.255,16.127,1.331,17.458,2.073,4.813,0.4
ZrCuB,unstable,3,5.587,6.307,14.532,91.651,-6.136,0,0.084,PBE,43.595,146.73,5.333,0.817,6,0.247,143.089,2.611,6,0.791,25.041,1.255,21.705,1.704,23.408,10.434,5.196,0.4
ZrFePo,unstable,3,6.232,9.774,20.165,197.089,-6.823,0,0.096,PBE,60.495,119.041,5.333,0.335,3,0.161,221.121,4.951,4,1.965,5.187,1.255,9.959,1.105,11.063,11.588,3.444,0.4
ZrFeS,unstable,3,5.669,6.53,15.184,99.153,-7.553,0,0.326,PBE,45.553,158.293,5.333,0.468,3,0.225,178.142,4.147,4,1.646,8.998,1.255,25.346,1.714,27.06,5.156,2.082,0.4
ZrFeSe,unstable,3,5.838,7.547,16.578,125.11,-7.321,0,0.112,PBE,49.734,145.997,5.333,0.313,3,0.151,299.739,4.882,4,1.938,6.496,1.255,18.832,1.486,20.319,8.054,2.319,0.4
ZrFeTe,stable,3,6.084,8.103,18.763,152.033,-7.19,0,1.156,PBE,56.289,136.714,5.333,7.255,3,3.488,2.518,4.843,4,1.922,6.157,1.255,16.211,1.332,17.543,1.326,2.528,0.4
ZrIrAs,stable,3,6.157,10.2,19.446,198.358,-8.276,0,0.265,PBE,58.339,156.638,5.333,0.118,3,0.057,1398.387,4.459,8,1.115,15.971,1.255,16.961,1.255,18.216,17.353,7.734,0.4
ZrIrBi,stable,3,6.48,12.018,22.68,272.562,-7.741,0,0.204,PBE,68.039,133.524,5.333,0.112,6,0.034,2560.732,2.838,8,0.71,26.811,1.255,10.8,1.014,11.814,61.934,13.331,0.4
ZrIrP,unstable,3,6.038,9.487,18.344,174.033,-8.533,0,0.782,PBE,55.031,168.954,5.333,0.191,9,0.044,2190.353,4.777,8,1.194,15.536,1.255,21.076,1.379,22.455,52.883,6.494,0.4
ZrIrSb,stable,3,6.358,10.472,21.418,224.284,-8.134,0,1.407,PBE,64.255,150.824,5.333,4.586,6,1.389,11.057,4.72,8,1.18,14.12,1.255,16.108,1.177,17.285,5.158,7.585,0.4
ZrNiC,unstable,3,5.397,6.842,13.099,89.629,-7.446,0,0.953,PBE,39.298,178.536,5.333,2.625,3,1.262,15.109,1.824,8,0.456,69.576,1.255,28.343,1.868,30.211,1.85,9.088,0.4
ZrNiGe,other_structure,3,5.895,7.215,17.074,123.188,-6.955,0,0.665,PBE,51.223,137.365,5.333,1.774,3,0.853,20.922,3.453,8,0.863,20.554,1.255,17.722,1.46,19.182,2.836,7.509,0.4
ZrNiPb,stable,3,6.239,9.769,20.233,197.669,-6.245,0,0.365,PBE,60.7,109.603,5.333,1.698,9,0.393,53.479,2.766,8,0.691,22.874,1.255,8.315,1.059,9.374,22.131,14.006,0.4
ZrNiSi,other_structure,3,5.818,6.003,16.413,98.527,-7.294,0,0.786,PBE,49.24,146.561,5.333,1.942,3,0.934,19.491,11.496,8,2.874,3.61,1.255,24.931,1.676,26.606,2.066,2.807,0.4
ZrNiSn,stable,3,6.148,7.676,19.37,148.689,-6.633,0,0.486,PBE,58.109,120.938,5.333,1.781,3,0.856,18.318,3.499,3,1.682,6.653,1.255,13.474,1.273,14.748,3.24,2.161,0.4
ZrPtGe,,3,6.205,9.979,19.91,198.682,-7.385,0,1.192,PBE,59.729,144.778,5.333,2.535,3,1.219,12.912,3.101,6,0.939,19.086,1.255,14.857,1.211,16.067,2.881,6.736,0.4
ZrPtPb,unstable,3,6.502,11.928,22.902,273.163,-6.788,0,0.826,PBE,68.705,120.947,5.333,2.039,3,0.98,14.95,2.19,3,1.053,13.438,1.255,8.81,0.966,9.775,4.507,4.319,0.4
ZrPtSi,other_structure,3,6.129,9.071,19.185,174.021,-7.713,0,1.337,PBE,57.554,155.002,5.333,2.737,6,0.829,24.653,3.719,6,1.126,15.559,1.255,18.944,1.33,20.274,6.161,5.125,0.4
ZrPtSn,stable,3,6.407,10.228,21.918,224.183,-7.182,0,0.974,PBE,65.753,135.589,5.333,2.059,3,0.99,16.519,3.084,3,1.483,9.011,1.255,13.292,1.121,14.412,3.407,2.674,0.4
ZrRhAs,stable,3,6.104,7.858,18.953,148.923,-7.835,0,1.204,PBE,56.859,148.399,5.333,3.305,3,1.589,8.892,2.898,8,0.724,28.884,1.255,20.321,1.404,21.726,1.863,7.957,0.4
ZrRhBi,stable,3,6.443,10.01,22.29,223.127,-7.267,0,1.023,PBE,66.869,123.348,5.333,4.045,6,1.225,10.915,2.412,8,0.603,31.612,1.255,11.187,1.074,12.261,6.412,13.082,0.4
ZrRhP,other_structure,3,5.984,6.977,17.858,124.598,-8.103,0,1.427,PBE,53.574,160.409,5.333,4.439,6,1.344,12.348,2.001,8,0.5,54.402,1.255,26.825,1.581,28.405,3.404,8.215,0.4
ZrRhSb,stable,3,6.324,8.297,21.074,174.849,-7.642,0,1.18,PBE,63.221,137.754,5.333,3.712,3,1.785,6.933,1.59,8,0.398,65.95,1.255,17.304,1.271,18.575,1.886,12.383,0.4
ZrRuTe,stable,3,6.318,8.426,21.015,177.065,-7.666,0,0.888,PBE,63.044,141.107,5.333,0.728,3,0.35,81.82,1.179,8,0.295,105.78,1.255,17.879,1.277,19.157,4.98,14.715,0.4
